걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
내포문화숲길,12코스 백제부흥군길,충남 예산군,어려움,12.1,5.5,작은 시골 면소재지에 정육점이 30여개가 넘게 밀집된 광시면 광시한우거리를 시작으로 무한천 따라 백제부흥군의 전설이 전해지는 임존성에 오르게 된다. 걷기에는 조금 힘들지만 임존성의 기품있는 성곽을 마주하며 발 아래로 보이는 고즈넉한 풍경과 따뜻한 가슴처럼 품 넓은 예당호가 한눈에 들어온다. 봉수산 자연휴양림의 풍경을 돌아 ‘의좋은 형제’이야기의 본고장인 대흥에 이르게 된다. *내포문화숲길 전체 코스가 변경(테마코스=> 지선 포함 26개 코스)되면서 걷기여행길에서 소개되는 코스가 일부 다를 수 있습니다.
내포문화숲길,13코스 백제부흥군길,충남 홍성군,보통,19.1,6,"백제부흥운동은 나당연합군에 의해 백제패망 후 서기 660년부터 663년까지 3년간에 걸쳐 홍성의 주류성과 예산의 임존성을 중심으로 나당연합군과 치열하게 전쟁을 치른 곳으로 내포지역에서 전개되었던 백제부흥운동의 의미를 되새기며 걸어보는 길로써 오서산의 복신장군의 복신굴과 주류성, 학성산성의 숲길과 행정저수지를 따라 걸으며 이 지역의 숲과 ?지 생태 또한 같이 관찰할 수 있는 도보 여행길이다."
내포문화숲길,내포14코스 백제부흥군길,충남 홍성군,보통,9.8,3.5,
내포문화숲길,05코스 원효 깨달음의 길,충남 당진시,보통,20.4,7.5,"내포지역은 불교 문물이 중국으로부터 직접 전파되어 빈번하게 왕래한 지역으로 중국과의 문화교류가 왕성하여 우리나라 불교역사의 큰 인물인 원효대사의 발자취를 따라서 성찰하며 순례할 수 있는 깨달음의 길이며 아미산, 이배산, 몽산 등의 숲생태와 함께 영탑사 칠층석탑, 영탑사 법종, 영탑사 금동삼존불, 안국사지 석불입상 등의 불교의 유적들을 찾아가며 고대로 부터 근, 현대사까지의 불교 역사를 두루 느끼고 생각하며 걸을수 있는 길이다. 현재 내포지역에 남아있는 불교 사찰과 유적 등을 통하여 알수 있듯이 당진을 비롯한 내포지역은 불교 역사문화의 산실이라 할 수 있다."
내포문화숲길,내포06코스 원효깨달음의길,충남 당진시,쉬움,15.3,4,
내포문화숲길,01코스 원효 깨달음의 길,충남 서산시,보통,13.1,7.5,"가야산을 중심으로 내포문화의 역사, 문화, 이야기를 주제로 서산, 당진, 홍성, 예산 4개 시군이 연계 협력하여 조성한 숲길로 서산구간은 42.5km의 단일 코스로 조성되었으며, 개심사, 천장사, 일락사 등 전통사찰을 경유하고 있어 과거 선승들이 깨달음을 얻었던 발자취를 따라 걸으며 마음을 편안히 하고 안정을 찾을 수 있는 길로서 숲길 주변으로 백제시대 유적을 보면서 백제시대 문화의 숨결 또한 느낄 수 있는 길이다."
내포문화숲길,02코스 원효깨달음의길,충남 서산시,보통,12.3,4.5,대곡리에서 개심사까지 이어지는 코스이다. 한서대 입구에서 간단하게 간식을 준비하고 내포문화숲길 서산시대곡리안내소에 들러 여행정보를 습득하고 여행을 시작한다. 신선이 노닐았다는 신선대에 올라 내포지역 경관을 바라보고 숲길을 나아간다. 충남의 명산인 가야산 자락에서는 내포문화숲길 가야산 전망대를 만나다. 가야산 전망대에 오르면 왜 내포라는 이름이 있는지 알게된다.
내포문화숲길,07코스 원효 깨달음의 길,충남 예산군,어려움,16.5,6.5,천년고찰 수덕사에서 출발하여 육괴정(보호수 느티6주)을 지나 나즈막한 뒷산길을 통과하여 둔리저수지를 끼고서 원효암앞에서 높고 높은 가야산을 넘어 덕산면 상가리 남연군묘를 지나는 길로서 그 옛날 원효대사가 해골물로 깨달음을 얻은것처럼 숲길을 지나온 길로 무언가 나만의 소중한 깨달음을 한가지 가지고 가면 좋을 듯 싶은 길이다
봄내길,01코스 실레이야기길,강원 춘천시,쉬움,5.2,2,"실레마을은 마치 솥이 앉혀있는 것 같이 산으로 포근하게 싸여있는 마을로 소설가 김유정(1908~1937)의 고향으로 봄봄, 동백꽃, 금따는 콩밭 등 그의 소설 12편이 이곳을 배경으로 창작되었다. 길을 걷다보면 그의 작품의 무대와 만날 수 있고, 소설 속 사연이 담긴 팻말을 찾는 테마 걷기 옇애길이다. 김유정 문학촌은 복원된 김유정의 생가와 전시관이 있으며 산국농장 인근에 서양화가 함섭 스튜디오 등 작가들의 창작실이 여러 채 있다."
봄내길,02코스 물깨말구구리길,강원 춘천시,보통,8.1,3,"‘물깨말’강촌은 구곡폭포를 중심으로 하는 관광지로 자연풍광이 좋아 예부터 많은 사람들이 찾는 곳이다. 나훈아의 노래‘강촌에 살고 싶네’가 탄생한 곳이기도 하다. 춘천 의병장 습재 이소응이 ‘숨어살기 좋은 곳’이라고 했던 문배마을이 있으며 봉화산, 검봉산 등 여러 개의 등산코스가 있다. 연계코스를 이용하면 가정리 유인석 유적지를 만난다. 이 마을에는 무기제조창, 여성의병 윤희순의 가옥 등 의병활동의 흔적들이 남아있다."
봄내길,03코스 석파령 너미길,강원 춘천시,보통,18.7,5,"춘천의 옛길인 수레너미고개를 넘어 서면으로 이어지는 이 길은 춘천의 역사와 만나는 길이다. 험한 고갯길인 석파령을 넘어 신임과 전임 춘천부사가 좁은 길에서 자리를 잘라서 나누어 앉을 만큼 험한 길이었지만 춘천의 아름다운 자연과 사람들을 잊지못해 아쉬운 눈물을 흘렸다고 한다. 임진왜란 당시 옥포해전에서 전공을 세운 한백록 장군의 묘와 정문, 고려충신 장절공 신숭겸의 묘역 등이 있다."
봄내길,04코스 의암호 나들길,강원 춘천시,보통,14.2,5,"의암호를 끼고 서면에서부터 삼천동까지 걷는 이곳은 춘천의 상징인 호수와 소양강 처녀상, 공지천 등을 만나며 산책로를 중심으로 가볍게 걸을 수 있다. 호수가 풍경은 시간에 따라 다르게 다가온다. 새벽안개가 아름답고, 저녁 석양 무렵의 의암호는 깊은 감동을 준다. 호수를 서면 금산리는 안정효의 ‘은마는 오지 않는다’, 중도와 삼천동은 오정희의 ‘불꽃놀이’의 배경이다. 대한민국 국민가요 ‘소앙강 처녀’의 배경지로 소양2교 앞에 소양강처녀상이 있다."
봄내길,05코스 소양호 나루터길,강원 춘천시,어려움,14.5,7,소양댐 배터에서 약 40분간 배를 타고 만나는 품걸리 배터에서 출발하는 이 길은 품걸리 마을 사람들의 살아가는 모습을 만나는 즐거움과 소양호의 수량에 따라 달라지는 배터의 모습을 계절 따라 새롭게 느끼며 걸을 수 있다. 낙엽이 지는 가을철에는 소양호의 풍광을 더 넓게 볼 수 있다. 담수량에 따라 선착장의 위치가 달라져서 걷는 거리는 12~15km까지 가변성이 있다.
효석문학 100리길,01코스 문학의 길,강원 평창군,쉬움,7.8,2.5,"문학의 길은 가산 이효석선생의 문학적 발자취가 가장 많이 남아있는 구간으로 소설 '메밀꽃 필 무렵'의 실제 배경지인 봉평 효석문화마을은 그 자체로 문학의 향기가 흐르는 곳이다. 장돌뱅이와 성씨 처녀의 사연이 있는 물레방앗간과 메밀꽃밭, 이효석생가마을, 이효석문학관 등을 둘러보고 주변경관이 수려한 흥정천을 따라 걷다보면 마치 소설속에 와 있는 듯한 설렘을 느낄 수 있다."
효석문학 100리길,02코스 대화장터 가는 길,강원 평창군,보통,13.3,4,"속사천과 대화천 그리고 농로를 따라 시골의 정취와 풍광을 바라보며 걷는 길로, 재산재를 넘어 서울대 평창캠퍼스 입구를 지나 소설 '메밀꽃 필 무렵' 배경지의 하나인 대화전통장으로 향하는 구간이다. 지역명소인 토마토유리온실 재배단지, 금당산 등산로, 법장사, 대흥사, 땀띠공원과 농촌체험마을인 대화6리 광천마을 등을 둘러보며 옛 추억의 정취와 평창의 따뜻한 인심과 정을 느낄 수 있는 길이다."
효석문학 100리길,03코스 강따라 방림가는 길,강원 평창군,쉬움,10.4,3,"굽이치는 대화천과 자연 그대로의 모습을 간직하고 있는 금당계곡이 합류된 평창강을 따라 고봉과 절벽이 조화된 멋진 경관을 연출하고 있는 구간으로 주변경관을 조망하며 강변을 따라 걷는 길이다. 특히, 제3구간은 제방길과 강변길로 이루어져 있어 자전거 투어를 즐기기에 더없이 좋은 곳이다. 주변의 산과 계곡에서 불어오는 시원한 바람을 가르며 자연의 정취와 멋진 풍경을 가슴에 담을 수 있는 길이다."
효석문학 100리길,04코스 옛길따라 평창강 가는 길,강원 평창군,보통,10.2,3,뱃재 옛길을 따라 산을 넘고 숲길을 지나 만나는 빼어난 평창강의 아름다운 경관과 기암절벽을 조망할 수 있는 구간으로 흙길을 걸으면서 청정한 자연을 즐기며 맑은 산소를 마실 수 있는 길이다. 주진리와 용항리 강변길은 그림같이 아름다운 곳으로 마치 한 폭의 산수화를 보는 듯하다. 시원하게 불어오는 강바람과 맑고 깨끗한 평창강의 물소리까지 그야말로 아름다운 추억이 될 것이다.
효석문학 100리길,05-01코스 마을길따라 노산가는 길,강원 평창군,보통,7.5,2.5,"숲길을 따라 작은 고개를 넘고 마을길을 걸으며 시골의 정취를 느끼고 평창강과 기암절벽, 임진왜란때 격전지였던 노산성을 둘러 보고 평창강변에 위치한 평창바위공원에 이르는 길이다."
효석문학 100리길,05-02코스 평창강따라 걷는 길,강원 평창군,보통,4.3,1.5,수석바위 테마공원인 평창바위공원을 둘러보고 장암산이 병풍처럼 펼쳐진 평창강을 따라 걸으며 강변의 정취를 즐기고 숲길을 따라 산림욕을 즐기면서 평창전통장과 공연장에 이르는 길이다.
관동별곡 8백리길,총 13코스,강원 고성군,보통,70.7,20.5,"강원고성갈래구경길 제1경 관동별곡 8백리길. 동해안 최북단 청정해역을 자랑하는 통일전망대에서 고성군과 속초시 경계인 용촌리까지 문화체육관광부에서 지정한 “해파랑길(일명:관동별곡8백리길) 70.7km의 해안길이 펼쳐져 있다. 제1경은 북쪽으로 분단된 조국의 아픔을 대변해 주는 통일전망대가 있으며 군사분계선과 근접한 민통선 내 DMZ박물관이 있으며, 이 길을 걷다보면 국내외에 널리 알려진 유명 경승지인 송림과 해당화가 어우러지고 또한 철새도래지 이기도한 호수둘레가 16km나 되는 화진포가 자리 잡고 있다. 이곳은 화진포해양박물과 역사안보전시관인 우리나라 이승만 초대대통령의 별장, 이기붕부통령 별장, 화진포의성(김일성별장)이 있어 세인들의 발길이 끊어지지 않고 있다. 화진포에서 남북 쪽으로 최북단의 미항으로 널리 알려진 대진항과, 거진항이 자리하고 있으며 청명한 물빛과 울창한 송림으로 조화를 이루고 있는 송지호가 눈에 들어온다. 이곳에는 철새관망타워가 세워져 4계절 철새들의 천국인 송지호호수에 날아드는 갖가지 희귀종의 새들이 생태를 관망할 수가 있으며 겨울철엔 천연기념물 201호인 고니들의 여유로움을 관망할 수 있다. 또한 이곳 주변에는 북방식 전통가옥이 원형 그대로 간직한 죽왕면 오봉리 왕곡마을이 있어 해마다 이곳에서 옛 전통의 멋을 살리는 축제가 벌어지기도 한다. 이곳에서 또 남쪽으로 걷다보면 1580년 강원도 관찰사 송강정철선생이 저작한 “관동별곡이야기”와 “관동8경”의 하나요, 동해안의 일출명소 최고로 알려져 있는 청간정이 자리 잡고 있다 우리고성군의 자랑인 관동별곡8백리 아름다운 길은 해안선을 따라 화진포와 송지호의 산소길과 54.5km의 낭만가도길이 한데 어우러져 국내의 걷기. 자전거 마니아들이 즐겨찾고 있다"
백두대간 금강산 가는길,총 11코스,강원 고성군,어려움,90,29,"강원고성갈래구경길 제2경 백두대간 금강산 가는길. 우리나라 동해안 최북단 현내면 명파리에서 간성읍 흘리 진부령 미술관을 경유 흘2리 마을을 지나 마산봉을 거쳐 토성면 용촌리 까리따스마테오요양원까지의 코스로서 우리나라 4대사찰의 하나인 건봉사가 있으며 석가모니 진신치아사리8과(강원도 지방기념물51호)중 5과글 친견할 수 있다 건봉사 남쪽길을 따라 탁고개를 지나 간성읍 광산2리 경로당까지 7km정도에 이르면 46번 국도가 나온다. 국도를 따라 남서쪽으로 계속 오르면 많은 계곡들을 볼 수 있으며 장신리 마을관리 휴양지와 진부리 휴양지를 거치게 된다 이곳을 흐르는 물은 향로봉에서 발원하여 거진읍 대대리와 간읍 경계지역인 북천교(합축교) 하류로 흐르고 있으며, 상류지역에는 수심이 낮고 물이 맑아 1급수에서 만 살 수 있는 은어 등 많은 물고기들이 서식하고 있고 무더운 여름철에도 발을 물에 담그면 발이 시리고 이마까지 차가운 기운을 느낄 수 있는 여러 계곡이 있다 그 대표적인 계곡이 진부계곡과 장신계곡, 제추골 등이 여름철 피서지로 각광을 받고 있다 이 계곡들은 청정수 물로 재배한 표고버섯과 옥수수, 감자 등을 맛볼 수 있고 심산에서 채취한 산약초와 산채류, 토종꿀(석청, 목청)등을 구입할 수 있는 지역이기도 함. 진부리 마을에서 국도를 따라 7km에 있는 진부령 미술관에 오르면 백두대간 가는 길을 찾을 수 있다 미술관에서 알프스스키장까지 3km의 지점 마을 앞에 한강의 발원지인 조그마한 소하천이 서쪽으로 흐른다 안흘리로 가는 길에 마산봉 오름길이 나오는데 4.2km오르면 해발1,051m의 가파르지 않은 마산봉 정상에 다다르게 된다 6월에 피어나는 진달래와 철쭉꽃이 이색적이고 수십 가지의 산나물이 여기저기에 서식하고 있는 곳이다 남쪽 내림 길을 따라 몇 개의 봉을 거치면 험악한 산세에 웅장한 바위들이 마치 병풍을 두른 듯 사계를 가르는데 이름 하여 병풍바위라 한다, 이곳에서 2.3km 내려가면 미시령과 진부령사이의 새이령을 만날 수 있다. 새이령에서 신선봉(1,204m) 계속 오르막길로 일반 등반객이나 노약자는 주의가 요구되는 구간이다 신선봉 정상에서 미시령 정상까지는 내리막길로 경사가 급하므로 특히 관절이 좋지 않은 등산객은 서서히 등산을 해야 할 것이다 미시령 옛길은 울산바위, 선인재, 신선바위 등이 있어 사계절 걷은 이의 정취를 달리하고 있다."
